source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
6440126477639302528,287.91241463092047,-60.792219883712974,0.2197110089798899,0.13733046,-0.5305086129817513,0.12542002,-8.66611042439802,0.123922385,18.19941,18.550367,17.697416,0.85295105,0.9934757,0.0,gmm2,48.81049633092217,0.01,0.3856673044859335,0.0,False,,
6440126576420807680,287.68560023919895,-60.84689359873958,0.7314339850345475,0.5373535,-2.569070356763099,0.48891115,-2.1631789032023008,0.37198234,19.921682,20.467445,19.48207,0.98537445,1.0405221,0.0001414896357347,gmm2,51.74625343513217,0.01,0.5391178646084801,1.55767739356833e-06,False,,
6440126851298752768,287.692073880619,-60.81948577525619,0.6643440228440514,0.2506203,7.369660331362173,0.22799541,-4.874755870641297,0.20664185,18.98525,19.770365,18.1462,1.6241646,1.0496863,0.0,gmm2,50.0987777167022,0.01,1.006700078650948e-23,0.0,False,,
6440126885658501632,287.7182981369568,-60.81297113232331,0.7810830624227026,0.28318217,-1.0712603583573492,0.26295957,-9.704091425492514,0.22624192,19.284706,19.89159,18.592142,1.299448,0.9482904,0.0,gmm2,49.70228094868342,0.01,0.0002810216066661,0.0,False,,
6440127027393260928,287.77832854663444,-60.787100201078935,0.2744942830815256,0.054426968,-0.910618276730738,0.05237215,-5.228820451461376,0.051739037,16.599854,16.92286,16.107006,0.8158531,1.01906,0.0,gmm2,48.18506869629991,0.01,0.9975140944235172,0.0,False,3643.0631223856744,722.3497617441277
6440127366695123584,287.8879668714776,-60.76074990015278,0.923051602343834,0.45376608,-5.571533376426303,0.38910037,-18.172935628900944,0.3717516,19.68483,20.821384,18.50765,2.313734,1.0942981,0.0,gmm2,46.85052412631728,0.01,9.42786512996967e-34,0.0,False,,
6440127607213096320,287.8541264085802,-60.74114211972189,0.334976913013556,0.3481492,4.468003818797018,0.3155077,-7.104860536207232,0.29539734,19.527113,20.301674,18.68525,1.6164246,1.0087907,0.0,gmm2,45.57845843745619,0.0129027581011288,1.0706519414601638e-09,0.0,False,,
6440127710292246912,287.97603379546894,-60.792058870675525,0.8499791042958068,0.46317175,-1.242641604521178,0.41777492,-2.224496951625019,0.3868142,19.882103,20.124332,19.41067,0.7136631,1.0046353,0.0,gmm2,49.066909539864845,0.01,0.0026266237103631,0.0,False,,
6440128225688374400,288.07447585403474,-60.75182142908122,0.3069990353123606,0.11257816,-11.251030545506095,0.09321831,-20.91402990791005,0.095500425,17.825548,18.15348,17.319,0.8344803,1.0100976,0.0,gmm2,47.2664382847539,0.01,0.0878014770091189,0.0,False,,
6440128328767605376,288.0958215523756,-60.73377787300412,-0.0201699212577978,0.24817444,1.6278631545256452,0.2012661,-8.759069460081598,0.17853965,19.080093,19.54622,18.516779,1.0294418,0.998225,0.0,gmm2,46.36561408740655,0.0102186371134112,0.4054492436892946,0.0,False,,
